host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,has_reviews,first_review_missing,last_review_missing,days_since_first_review,days_since_last_review,has_availability_miss,superhost_missing,host_tenure_days,last_scraped_collected_days,room_type_Entire home/apt,room_type_Private room,property_type_Entire condo,property_type_Entire cottage,property_type_Entire guest suite,property_type_Entire home,property_type_Entire loft,property_type_Entire place,property_type_Entire rental unit,property_type_Entire townhouse,property_type_Entire vacation home,property_type_Private room in bed and breakfast,property_type_Private room in condo,property_type_Private room in guest suite,property_type_Private room in home,property_type_Private room in rental unit,property_type_Private room in townhouse,property_type_Private room in villa,property_type_Room in aparthotel,property_type_Room in hotel,neighbourhood_cleansed_EIGHTH WARD,neighbourhood_cleansed_ELEVENTH WARD,neighbourhood_cleansed_FIFTEENTH WARD,neighbourhood_cleansed_FIFTH WARD,neighbourhood_cleansed_FIRST WARD,neighbourhood_cleansed_FOURTEENTH WARD,neighbourhood_cleansed_FOURTH WARD,neighbourhood_cleansed_NINTH WARD,neighbourhood_cleansed_SECOND WARD,neighbourhood_cleansed_SEVENTH WARD,neighbourhood_cleansed_SIXTH WARD,neighbourhood_cleansed_TENTH WARD,neighbourhood_cleansed_THIRD WARD,neighbourhood_cleansed_THIRTEENTH WARD,neighbourhood_cleansed_TWELFTH WARD,amenity__Wifi,amenity__Smoke_alarm,amenity__Kitchen,amenity__Carbon_monoxide_alarm,amenity__Hot_water,amenity__Hangers,amenity__Cooking_basics,amenity__Dishes_and_silverware,amenity__Microwave,amenity__Bed_linens,amenity__Self_check-in,amenity__Iron,amenity__TV,amenity__Refrigerator,amenity__Essentials,amenity__Fire_extinguisher,amenity__Shampoo,amenity__First_aid_kit,amenity__Long_term_stays_allowed,amenity__Hair_dryer,amenity__Cleaning_products,amenity__Free_street_parking,amenity__Freezer,amenity__Dining_table,amenity__Exterior_security_cameras_on_property,amenity__Free_parking_on_premises,amenity__Coffee,amenity__Extra_pillows_and_blankets,amenity__Conditioner,amenity__Heating,amenity__Oven,amenity__Body_soap,amenity__Dedicated_workspace,amenity__Toaster,amenity__Dishwasher,amenity__Hot_water_kettle,amenity__Bathtub,amenity__Shower_gel,amenity__Air_conditioning,amenity__Stove,amenities_count,bathroom_private,encoded_host_response_time
100.0,88.0,1,8,13,1,1,42.675,-73.82382,6,1.0,2.0,3.0,177.0,1,1125,1,2,1125,1125,1.3,1125.0,1,27,54,84,359,86,28,1,82,8,168,29736.0,4.94,4.94,4.85,4.94,4.94,4.84,4.77,0,8,0.89,1,0,0,2960,72,0,0,4745,50,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,46,1,4
100.0,100.0,1,2,2,1,1,42.64939,-73.76865,4,1.0,1.0,2.0,116.0,2,1125,2,2,1125,1125,2.0,1125.0,1,24,54,84,352,131,0,0,82,1,0,0.0,4.91,4.93,4.93,4.98,4.96,4.89,4.87,0,2,1.43,1,0,0,2800,561,0,0,3524,50,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,49,1,4
100.0,100.0,1,8,8,1,1,42.65532,-73.78244,2,1.0,1.0,1.0,68.0,2,365,2,2,1125,1125,2.0,1125.0,1,0,0,0,273,48,5,0,0,6,30,2040.0,4.92,4.92,4.94,4.94,4.98,4.92,4.88,0,8,0.49,1,0,0,2996,189,0,0,3334,50,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,34,1,4
100.0,90.0,1,13,15,1,1,42.66565,-73.77975,2,1.0,1.0,1.0,43.0,18,1125,18,18,1125,1125,18.0,1125.0,1,0,25,55,330,47,5,0,53,3,180,7740.0,4.79,4.85,4.72,4.98,4.96,4.66,4.68,1,3,0.53,1,0,0,2704,85,0,0,3081,50,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,46,0,4
100.0,100.0,1,8,8,1,1,42.65372,-73.78244,2,1.0,1.0,1.0,60.0,2,730,2,2,730,730,2.0,730.0,1,7,30,60,272,136,14,3,57,17,84,5040.0,4.85,4.89,4.84,4.91,4.93,4.88,4.83,0,8,1.42,1,0,0,2926,57,0,0,3334,49,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,44,1,4
100.0,88.0,1,8,13,1,1,42.67547,-73.82402,10,1.0,4.0,5.0,749.0,4,1125,4,4,1125,1125,4.0,1125.0,1,30,60,90,365,9,1,0,87,0,8,5992.0,5.0,5.0,5.0,5.0,4.89,5.0,4.78,0,8,0.09,1,0,0,2891,111,0,0,4745,49,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,66,1,4
100.0,99.0,1,9,17,1,1,42.66045,-73.77833,4,1.0,1.0,2.0,69.0,3,730,3,3,730,730,3.0,730.0,1,21,48,78,353,183,11,0,75,21,66,4554.0,4.75,4.85,4.77,4.91,4.98,4.55,4.75,0,9,1.91,1,0,0,2919,116,0,0,2977,49,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,36,1,4
100.0,90.0,1,13,15,1,1,42.66572,-73.77834,2,1.0,1.0,1.0,32.0,18,1125,18,18,1125,1125,18.0,1125.0,1,18,28,58,310,34,6,0,55,9,216,6912.0,4.76,4.74,4.65,4.97,4.94,4.59,4.65,1,3,0.36,1,0,0,2888,86,0,0,3081,49,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,44,0,4
100.0,90.0,1,13,15,1,1,42.66703,-73.77842,1,1.0,1.0,1.0,42.0,20,730,20,20,1125,1125,20.0,1125.0,1,7,37,67,342,26,3,0,64,4,120,5040.0,4.77,4.65,4.58,4.96,5.0,4.69,4.73,1,3,0.27,1,0,0,2900,304,0,0,3081,49,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,44,0,4
100.0,100.0,1,8,8,1,1,42.65501,-73.78122,2,1.0,1.0,1.0,72.0,2,1125,2,2,1125,1125,2.0,1125.0,1,1,12,42,317,129,15,1,40,14,90,6480.0,4.91,4.91,4.92,4.98,4.94,4.93,4.84,0,8,1.37,1,0,0,2872,76,0,0,3334,50,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,34,1,4
